Latitude,Longitude,Average_distance_Y,Average_review_count_Y,Average_rating_Y,Max_rating_Y,Max_review_count,Min_rating_Y,Min_review_count
53.479787,-2.232037,655.895497861789,18.65,4.6899999999999995,4.9,70,4.5,4
53.47591,-2.23808,850.2273522356915,16.35,4.739999999999998,5.0,70,4.5,4
53.475572,-2.251275,778.2975052710902,17.6,4.74,5.0,70,4.5,3
53.479667,-2.287542,860.1603868456648,6.55,4.17,5.0,36,3.2,1
53.440315,-2.219095,454.3947563006133,13.25,4.21,5.0,53,3.8,1
53.480103,-2.239262,584.0401153975174,13.9,4.749999999999998,5.0,60,4.6,4
53.501892,-2.258321,834.0967514471212,1.5333333333333334,3.7199999999999998,5.0,4,1.0,1
53.492034,-2.288782,802.826816947834,2.1333333333333333,3.353333333333333,5.0,5,1.0,1
53.483954,-2.294834,493.62964524572556,1.7333333333333334,3.42,5.0,4,1.0,1
53.471862,-2.263913,1131.8135577516928,26.3,4.424999999999999,5.0,116,4.1,2
53.486225,-2.242023,690.5594928490826,14.7,4.754999999999997,5.0,60,4.6,4
53.479529,-2.254643,605.811580624136,13.8,4.715,5.0,37,4.5,3
53.474701,-2.26699,941.279201206991,20.0,4.500000000000001,5.0,116,3.9,1
53.458883,-2.258545,737.8233678245975,4.45,4.27,5.0,18,3.2,1
53.445025,-2.230505,935.7365905435045,8.4,4.445000000000001,5.0,30,3.8,1
53.445101,-2.278652,493.35394230048223,15.05,4.404999999999999,5.0,49,4.0,1
53.48373,-2.245889,617.1889868665414,14.7,4.744999999999998,5.0,60,4.6,4
53.467967,-2.241854,764.5843961776625,18.15,4.419999999999999,4.9,54,4.3,4
53.460325,-2.250735,860.0082018166446,4.8,4.424999999999999,5.0,18,3.2,1
53.479021,-2.234913,674.7580550055002,19.1,4.6899999999999995,4.9,70,4.5,5
53.481026,-2.251084,655.792091823856,20.7,4.704999999999999,5.0,70,4.5,4
53.465117,-2.289805,655.1243481749315,6.25,4.264999999999999,5.0,36,3.5,1
53.482948,-2.236628,471.68610152879745,17.2,4.724999999999999,4.9,70,4.5,5
53.468194,-2.29563,718.5328423864551,5.6,4.45,5.0,36,3.6,1
53.442835,-2.268034,704.2899256668576,15.05,4.404999999999999,5.0,49,4.0,1
53.465974,-2.309977,985.2972915163107,7.4375,3.5875,5.0,36,2.9,1
53.467535,-2.30987,917.2433403154523,7.411764705882353,3.588235294117647,5.0,36,2.9,1
53.454685,-2.273958,895.4370446472321,8.45,4.595000000000001,5.0,49,3.6,1
53.466148,-2.287438,660.2916117208906,6.1,4.33,5.0,36,3.6,1
53.460205,-2.25837,675.7006775667139,3.85,4.244999999999999,5.0,18,3.2,1
53.452616,-2.286318,912.4983214661885,9.5,4.445,5.0,49,3.5,1
53.460663,-2.273495,742.5380020696284,3.0,4.125,5.0,13,3.0,1
53.490366,-2.238755,852.5393747469068,16.0,4.705,5.0,70,4.5,3
