Average_rating_F,Average_dist_F,Average_rating_Y,Average_distance_Y,Free Bikes
8.48,857.8,4.604999999999999,986.8482886094624,0
9.179999999999998,571.7,4.69,681.4842109783926,5
6.69,639.5,3.5200000000000005,789.9184430191103,0
,615.2,3.65,931.5763402963548,0
6.69,611.8,3.4222222222222225,815.3721488386232,0
,623.4,3.65,925.8892728838332,0
6.56,699.9,3.7923076923076926,820.5984456507935,0
6.76,764.1,3.7,742.482179983456,0
6.489999999999999,808.4,3.757142857142857,814.1572325444262,2
8.6,690.5,4.469999999999999,794.0219473874955,0
,744.7777777777778,3.4714285714285715,864.8164987952667,0
9.209999999999996,572.5,4.744999999999998,601.0716126433024,2
8.18,826.2,3.8461538461538463,916.05737300819,0
8.24,603.5,4.614999999999999,671.871953043901,0
8.190000000000001,594.0,4.549999999999999,786.425983494988,0
8.570000000000002,712.9,4.464999999999998,759.9217827795177,0
8.25,559.0,4.435,779.2160398448905,3
8.95,792.4,4.610000000000001,782.5025476088472,0
8.66,753.8,4.555,904.0930938759144,0
7.27,621.4,4.345000000000001,762.713914075279,4
8.4,483.6,4.45,739.343881776851,0
8.24,622.2,4.464999999999999,765.3824517501354,3
9.209999999999996,613.8,4.764999999999999,725.2554604319238,1
8.370000000000001,608.1,4.44,774.6479288641865,3
9.209999999999996,657.9,4.764999999999999,765.7032032681552,0
8.879999999999999,800.4,4.615000000000001,756.7934274772641,1
8.280000000000003,298.6,4.214999999999999,547.0585049626584,4
7.45,304.0,4.194999999999999,461.0217020544231,0
9.060000000000002,808.6,4.655,815.692751917766,0
8.799999999999999,745.8,4.550000000000002,808.9921435087916,2
8.14,422.8,4.529999999999999,295.9850366301661,0
9.010000000000002,844.8,4.545000000000002,750.8893513667635,0
8.1,759.2,4.48,744.0274993548235,9
9.209999999999996,757.3,4.729999999999999,782.9945644831218,0
8.279999999999998,774.4,4.470000000000001,941.2566797030285,10
7.709999999999999,620.9,4.23,522.5568865664789,2
9.17,413.2,4.714999999999999,660.088346321927,4
9.04,739.8,4.69,746.4422040738094,2
,609.3,3.923076923076923,825.320661074408,0
7.92,621.8,3.66,704.5025352369288,16
9.15,449.0,4.744999999999999,639.5520588894638,2
7.580000000000001,870.0,3.975,791.3966601578343,6
6.39,320.4,3.2789473684210524,750.6614851519129,1
9.04,686.1,4.650000000000001,702.348444714891,5
,678.8,4.06875,799.7883341175673,0
8.209999999999999,739.6,4.315,790.3832104763447,0
7.77,1089.3,4.27,829.8076258884275,4
7.13,756.3,3.825,735.815708231891,5
6.67,714.1,3.4909090909090907,968.2429415338756,9
7.460000000000001,855.0,4.57,1050.2519705375514,0
9.2,548.2,4.7,562.8160959798724,0
8.04,751.1,4.575,850.718362622921,0
7.25,780.7,4.33,802.8173549888475,0
7.0200000000000005,706.4,4.105,884.9889928841492,5
6.620000000000002,779.1,3.81,556.5456849173505,6
9.169999999999998,585.2,4.71,610.0361601700844,0
9.04,676.4,4.660000000000001,775.4835759922217,7
,559.4,4.31,823.1178369708329,0
9.19,540.3,4.69,609.42821773719,0
6.74,759.5,4.2,799.3368749612707,0
8.100000000000001,497.8,4.54,567.0488945784514,1
7.529999999999999,773.2,4.475,863.6736547490697,2
6.160000000000001,771.6,3.5,778.208775915168,0
7.93,805.5,4.645,1116.409401731497,0
8.520000000000001,897.0,4.365,907.2970104279572,5
9.21,757.9,4.715,724.0212032220604,0
6.69,683.7,4.27,775.8336176295509,3
8.709999999999999,714.1,4.550000000000002,859.2938095895915,1
9.18,597.8,4.7,690.3969051660168,0
8.870000000000001,865.4,4.525,954.546023521868,0
,419.0,4.48,1141.243119874358,0
8.21,683.9,4.4300000000000015,795.7010436265548,0
,475.2,3.607692307692308,993.9986932866898,0
9.179999999999998,738.1,4.729999999999999,867.1442194154349,1
,607.5,3.983333333333333,818.2801907684667,10
6.29,643.4,3.65,883.0675008695513,0
6.33,653.8,3.9818181818181824,915.5583213242434,0
8.190000000000001,700.3,4.414999999999999,811.6619603944943,0
9.259999999999996,575.5,4.724999999999999,548.3921999378542,0
8.14,425.9,4.525,398.53862637346685,5
9.13,721.2,4.67,769.2674228320215,0
9.14,635.1,4.7,721.7463397606889,1
7.8,681.4,4.435,800.1144273707847,3
8.97,828.6,4.574999999999999,838.5862261019996,10
7.709999999999999,618.4,4.23,523.8194966050007,11
9.18,676.2,4.71,725.6322203469359,2
8.66,810.9,4.49,916.7296588335206,0
8.91,761.8,4.394999999999998,888.1101698483428,0
6.459999999999999,599.5,3.42,443.4179436956911,0
7.85,843.5,4.015,1014.1645605740996,0
7.5,501.3,3.7142857142857135,641.7209772348889,0
,429.3,4.364999999999999,1142.1364714559384,1
